sample	hier_label	hier_label2	hier_label16	hier_label32	branch_length	_pt_highlight	user_colour	root_color
MT863559.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1.0.0	b16:7F94B97.q0	b32:FUABIS	45		#fabed4	#fabed4
2025.EXT.1106.1850.2214	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1.1.0.0	b16:7F94B97.o4	b32:FUABIU.b0	86		#469990	#469990
2026.EXT.0225.1251.220	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.1.1.1.1.0.0	b16:7F94B97C	b32:FUABIV.q0	86		#a8d8a8	#a8d8a8
ON813214.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.0.0	b16:7F94B948	b32:FUABII.q0	1		#f4a8a8	#f4a8a8
2025.EXT.1106.1850.225	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.0.0	b16:7F94B94A.b0	b32:FUABII.o4	97		#a8c8f4	#a8c8f4
PP445046.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.0.0	b16:7F94B94B.q0	b32:FUABII.hc	52		#f4d4a8	#f4d4a8
OP609796.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0	b16:7F94B94B.o4	b32:FUABIIS	2		#d4a8f4	#d4a8f4
OP609799.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.1.0	b16:7F94B94B.o6	b32:FUABIIU	1		#4e79a7	#4e79a7
2023.TE.25159.1.2	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0	b16:7F94B94B94	b32:FUABIISK	1		#e15759	#e15759
2022.TE.49680.2.2	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.3.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.0.1.0.0.0	b16:7F94B94B911.o0	b32:FUABIISH2.q0	0		#76b7b2	#76b7b2
2022.TE.42275.2.6	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.4.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.0.1.1.0	b16:7F94B94B911.q2	b32:FUABIISH3.b0	5		#017280	#017280
2025.TE.10402.1.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.0.0	b16:7F94B94B9127.o4	b32:FUABIISH4U.b0	4		#2a6b5a	#2a6b5a
2025.TE.10403.1.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.3.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.0.0.0.1.0.0	b16:7F94B94B9127C8.o4	b32:FUABIISH4V4.h4	2		#40847d	#40847d
2025.TE.29204.1.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.4.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.1.0.0	b16:7F94B94B9127CC	b32:FUABIISH4V6.b0	2		#d95a47	#d95a47
2026.TE.2254.1.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.4.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.1.1.0	b16:7F94B94B9127CE	b32:FUABIISH4V7.b0	11		#7d2e46	#7d2e46
2026.TE.2250.1.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.4.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.1.0.0.1.0.0	b16:7F94B94B9127CC.o4	b32:FUABIISH4V6.h4	45		#c06b82	#c06b82
