sample	hier_label	hier_label2	hier_label16	hier_label32	root_ancestor	branch_length	_pt_highlight	user_colour	root_color	polytomy
n475	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0	b16:7F94B94B91.b0	b32:FUABIISH.b0	true	1				5
n480	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.0.1.0	b16:7F94B94B911.b0	b32:FUABIISH2	true	3	#76b7b2			
n481	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.0.1.0.0	b16:7F94B94B911.q0	b32:FUABIISH2.b0	true	5				
2022.TE.49680.2.2	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.3.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.0.1.0.0.0	b16:7F94B94B911.o0	b32:FUABIISH2.q0		0		#76b7b2	#76b7b2	
n489	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.4	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.0.1.1	b16:7F94B94B911.b1	b32:FUABIISH3	true	1	#017280			5
2022.TE.42275.2.6	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.4.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.0.1.1.0	b16:7F94B94B911.q2	b32:FUABIISH3.b0		5		#017280	#017280	
n510	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0	b16:7F94B94B912.b0	b32:FUABIISH4	true	1				
n514	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1	b16:7F94B94B912.q1	b32:FUABIISH4.b1	true	3				
n516	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1	b16:7F94B94B912.o3	b32:FUABIISH4.q3	true	1				
n520	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1	b16:7F94B94B9127	b32:FUABIISH4.o7	true	1				
n527	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1	b16:7F94B94B9127.b1	b32:FUABIISH4.hf	true	1				
n528	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.0	b16:7F94B94B9127.q2	b32:FUABIISH4U	true	2	#2a6b5a			4
2025.TE.10402.1.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.0.0	b16:7F94B94B9127.o4	b32:FUABIISH4U.b0		4		#2a6b5a	#2a6b5a	
n537	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1	b16:7F94B94B9127.q3	b32:FUABIISH4V	true	2				4
n543	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.0	b16:7F94B94B9127C.q2	b32:FUABIISH4V.h2	true	1				3
n552	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.3.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.0.0.0.1.0	b16:7F94B94B9127C8.q2	b32:FUABIISH4V4.o2	true	1	#40847d			5
2025.TE.10403.1.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.3.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.0.0.0.1.0.0	b16:7F94B94B9127C8.o4	b32:FUABIISH4V4.h4		2		#40847d	#40847d	
n566	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.4	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.1	b16:7F94B94B9127C.q3	b32:FUABIISH4V.h3	true	3	#d95a47			3
n567	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.4.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.1.0	b16:7F94B94B9127C.o6	b32:FUABIISH4V6	true	8				
2025.TE.29204.1.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.4.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.1.0.0	b16:7F94B94B9127CC	b32:FUABIISH4V6.b0		2		#d95a47	#d95a47	
n570	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.4.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.1.1	b16:7F94B94B9127C.o7	b32:FUABIISH4V7	true	5	#7d2e46			3
2026.TE.2254.1.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.3.2.3.2.2.2.3.3.5.2.2.2.2.2.4.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0.1.0.0.0.1.0.0.1.0.0.1.1.1.1.1.0.0.1.1.1.0	b16:7F94B94B9127CE	b32:FUABIISH4V7.b0		11		#7d2e46	#7d2e46	
