sample	hier_label	hier_label2	hier_label16	hier_label32	root_ancestor	branch_length	_pt_highlight	user_colour	root_color	polytomy
n79	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1	b16:32FFF.b1	b32:6BVV.b1		20				
MN954648.1	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.0	b16:32FFF.q2	b32:6BVV.q2		54		#dc322f		
n81	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	b16:32FFF.q3	b32:6BVV.q3		3				4
KX394382.1	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0	b16:32FFF.o6	b32:6BVV.o6		3		#dc322f		
JX123030.1	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	b16:32FFF.o7	b32:6BVV.o7		4		#dc322f		
JX123031.1	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.1.0	b16:32FFFC.q2	b32:6BVVP.b0		3		#dc322f		
n85	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.4	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.1.1	b16:32FFFC.q3	b32:6BVVP.b1		1				
JN887352.1	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.4.1	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.1.1.0	b16:32FFFC.o6	b32:6BVVP.q2		0		#dc322f		
KT934804.1	1.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.4.2	0.0.1.1.0.0.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.1.1.1	b16:32FFFC.o7	b32:6BVVP.q3		10		#dc322f		
n88	1.2	0.1	b16:.q1	b32:.q1	true	522				
n89	1.2.1	0.1.0	b16:.o2	b32:.o2	true	87	#268bd2			
n90	1.2.1.1	0.1.0.0	b16:4	b32:.h4	true	128				3
JX041628.1	1.2.1.1.1	0.1.0.0.0	b16:4.b0	b32:8		5		#268bd2	#268bd2	
JX041629.1	1.2.1.1.2	0.1.0.0.1	b16:4.b1	b32:9		3		#268bd2		
JX041630.1	1.2.1.1.3	0.1.0.0.0.0.1.0	b16:42	b32:8.o2		0		#268bd2		
n94	1.2.1.2	0.1.0.1	b16:5	b32:.h5		106				
KT163243.1	1.2.1.2.1	0.1.0.1.0	b16:5.b0	b32:A		16		#268bd2		
n96	1.2.1.2.2	0.1.0.1.1	b16:5.b1	b32:B		1				
HM051416.1	1.2.1.2.2.1	0.1.0.1.1.0	b16:5.q2	b32:B.b0		37		#268bd2		
n98	1.2.1.2.2.2	0.1.0.1.1.1	b16:5.q3	b32:B.b1		53				
JX041633.1	1.2.1.2.2.2.1	0.1.0.1.1.1.0	b16:5.o6	b32:B.q2		15		#268bd2		
KU978768.1	1.2.1.2.2.2.2	0.1.0.1.1.1.1	b16:5.o7	b32:B.q3		11		#268bd2		
n101	1.2.2	0.1.1	b16:.o3	b32:.o3	true	110				
n102	1.2.2.1	0.1.1.0	b16:6	b32:.h6		64	#2aa198			
GQ851606.1	1.2.2.1.1	0.1.1.0.0	b16:6.b0	b32:C		108				
GQ851607.1	1.2.2.1.2	0.1.1.0.1	b16:6.b1	b32:D		43				
n105	1.2.2.2	0.1.1.1	b16:7	b32:.h7	true	31				
n106	1.2.2.2.1	0.1.1.1.0	b16:7.b0	b32:E	true	70	#cb4b16			
n107	1.2.2.2.1.1	0.1.1.1.0.0	b16:7.q0	b32:E.b0	true	111				
KC601756.1	1.2.2.2.1.1.1	0.1.1.1.0.0.0	b16:7.o0	b32:E.q0		127		#cb4b16	#cb4b16	
n109	1.2.2.2.1.1.2	0.1.1.1.0.0.1	b16:7.o1	b32:E.q1		10				
JX041634.1	1.2.2.2.1.1.2.1	0.1.1.1.0.0.1.0	b16:72	b32:E.o2		28		#cb4b16		
JX442279.1	1.2.2.2.1.1.2.2	0.1.1.1.0.0.1.1	b16:73	b32:E.o3		90		#cb4b16		
n112	1.2.2.2.1.2	0.1.1.1.0.1	b16:7.q1	b32:E.b1		28				
OP846977.1	1.2.2.2.1.2.1	0.1.1.1.0.1.0	b16:7.o2	b32:E.q2		79		#cb4b16		
n114	1.2.2.2.1.2.2	0.1.1.1.0.1.1	b16:7.o3	b32:E.q3		120				
PP862727.1	1.2.2.2.1.2.2.1	0.1.1.1.0.1.1.0	b16:76	b32:E.o6		8		#cb4b16		
n116	1.2.2.2.1.2.2.2	0.1.1.1.0.1.1.1	b16:77	b32:E.o7		0				
KR107956.1	1.2.2.2.1.2.2.2.1	0.1.1.1.0.1.1.1.0	b16:77.b0	b32:E.he		10		#cb4b16		
HM152773.1	1.2.2.2.1.2.2.2.2	0.1.1.1.0.1.1.1.1	b16:77.b1	b32:E.hf		15		#cb4b16		
n119	1.2.2.2.2	0.1.1.1.1	b16:7.b1	b32:F	true	1				
n120	1.2.2.2.2.1	0.1.1.1.1.0	b16:7.q2	b32:F.b0		55	#268bd2			
GQ851608.1	1.2.2.2.2.1.1	0.1.1.1.1.0.0	b16:7.o4	b32:F.q0		0		#268bd2		
KJ958922.1	1.2.2.2.2.1.2	0.1.1.1.1.0.1	b16:7.o5	b32:F.q1		15		#268bd2		
n123	1.2.2.2.2.2	0.1.1.1.1.1	b16:7.q3	b32:F.b1	true	28				
n124	1.2.2.2.2.2.1	0.1.1.1.1.1.0	b16:7.o6	b32:F.q2	true	137	#d33682			
MW915462.1	1.2.2.2.2.2.1.1	0.1.1.1.1.1.0.0	b16:7C	b32:F.o4		126		#d33682	#d33682	
n126	1.2.2.2.2.2.1.2	0.1.1.1.1.1.0.1	b16:7D	b32:F.o5		27				
OP846974.1	1.2.2.2.2.2.1.2.1	0.1.1.1.1.1.0.1.0	b16:7D.b0	b32:F.ha		26		#d33682		
OP846975.1	1.2.2.2.2.2.1.2.2	0.1.1.1.1.1.0.1.1	b16:7D.b1	b32:F.hb		20		#d33682		
n129	1.2.2.2.2.2.2	0.1.1.1.1.1.1	b16:7.o7	b32:F.q3	true	61				
OP846971.1	1.2.2.2.2.2.2.1	0.1.1.1.1.1.1.0	b16:7E	b32:F.o6		95				
n131	1.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1	b16:7F	b32:F.o7	true	40				
MN149538.1	1.2.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.0	b16:7F.b0	b32:F.he		91				
n133	1.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1	b16:7F.b1	b32:F.hf	true	2				3
n134	1.2.2.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.0	b16:7F.q2	b32:FU	true	11	#6c71c4			
KY703854.1	1.2.2.2.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0	b16:7F.o4	b32:FU.b0		52		#6c71c4	#6c71c4	
OP846973.1	1.2.2.2.2.2.2.2.2.1.2	0.1.1.1.1.1.1.1.1.0.1	b16:7F.o5	b32:FU.b1		59		#6c71c4		
n137	1.2.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.1	b16:7F.q3	b32:FV	true	17				
MF797870.1	1.2.2.2.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.1.0	b16:7F.o6	b32:FV.b0		133				
n139	1.2.2.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.1.1	b16:7F.o7	b32:FV.b1	true	15	#b58900			
n140	1.2.2.2.2.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.1.1.0	b16:7FE	b32:FV.q2	true	47				
KU588135.1	1.2.2.2.2.2.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.1.1.0.0	b16:7FE.b0	b32:FV.o4		96		#b58900	#b58900	
OP617270.1	1.2.2.2.2.2.2.2.2.2.2.1.2	0.1.1.1.1.1.1.1.1.1.1.0.1	b16:7FE.b1	b32:FV.o5		91		#b58900		
n143	1.2.2.2.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.1.1.1	b16:7FF	b32:FV.q3		45				
KC243146.1	1.2.2.2.2.2.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.1.1.1.0	b16:7FF.b0	b32:FV.o6		35		#b58900		
n145	1.2.2.2.2.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.1.1.1.1	b16:7FF.b1	b32:FV.o7		2				
n146	1.2.2.2.2.2.2.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.1.1.1.1.0	b16:7FF.q2	b32:FV.he		74				
2025.EXT.1106.1850.227	1.2.2.2.2.2.2.2.2.2.2.2.2.1.1	0.1.1.1.1.1.1.1.1.1.1.1.1.0.0	b16:7FF.o4	b32:FVS		63		#b58900		
2025.EXT.1201.1654.341	1.2.2.2.2.2.2.2.2.2.2.2.2.1.2	0.1.1.1.1.1.1.1.1.1.1.1.1.0.1	b16:7FF.o5	b32:FVT		44		#b58900		
n149	1.2.2.2.2.2.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.1.1.1.1.1	b16:7FF.q3	b32:FV.hf		85				
LC489409.1	1.2.2.2.2.2.2.2.2.2.2.2.2.2.1	0.1.1.1.1.1.1.1.1.1.1.1.1.1.0	b16:7FF.o6	b32:FVU		3		#b58900		
LC817237.1	1.2.2.2.2.2.2.2.2.2.2.2.2.2.2	0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	b16:7FF.o7	b32:FVV		1		#b58900		
n152	1.2.2.2.2.2.2.2.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0	b16:7F9.b0	b32:FU.o2	true	19				
ON813216.1	1.2.2.2.2.2.2.2.2.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.0	b16:7F9.q0	b32:FU.h4		97				
n154	1.2.2.2.2.2.2.2.2.3.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1	b16:7F9.q1	b32:FU.h5	true	1				3
HM152775.1	1.2.2.2.2.2.2.2.2.3.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0	b16:7F9.o2	b32:FUA		74				
AY701412.1	1.2.2.2.2.2.2.2.2.3.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.1	b16:7F9.o3	b32:FUB		47				
n157	1.2.2.2.2.2.2.2.2.3.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0	b16:7F94.q2	b32:FUA.o2	true	7				
n158	1.2.2.2.2.2.2.2.2.3.2.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0	b16:7F94.o4	b32:FUA.h4	true	5	#859900			
n159	1.2.2.2.2.2.2.2.2.3.2.3.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.0	b16:7F948	b32:FUA8	true	105				
JN858069.1	1.2.2.2.2.2.2.2.2.3.2.3.1.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.0.0	b16:7F948.b0	b32:FUA8.b0		3		#859900	#859900	
JQ928175.1	1.2.2.2.2.2.2.2.2.3.2.3.1.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.0.1	b16:7F948.b1	b32:FUA8.b1		1		#859900		
n162	1.2.2.2.2.2.2.2.2.3.2.3.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1	b16:7F949	b32:FUA9		84				
n163	1.2.2.2.2.2.2.2.2.3.2.3.1.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1.0	b16:7F949.b0	b32:FUA9.b0		2				
2021.TE.292083.2.2	1.2.2.2.2.2.2.2.2.3.2.3.1.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1.0.0	b16:7F949.q0	b32:FUA9.q0		0		#859900		
MW835364.1	1.2.2.2.2.2.2.2.2.3.2.3.1.2.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1.0.1	b16:7F949.q1	b32:FUA9.q1		0		#859900		
n166	1.2.2.2.2.2.2.2.2.3.2.3.1.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1.1	b16:7F949.b1	b32:FUA9.b1		1				3
KC954092.1	1.2.2.2.2.2.2.2.2.3.2.3.1.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1.1.0	b16:7F949.q2	b32:FUA9.q2		6		#859900		
n168	1.2.2.2.2.2.2.2.2.3.2.3.1.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1.1.1	b16:7F949.q3	b32:FUA9.q3		1				
JX556213.1	1.2.2.2.2.2.2.2.2.3.2.3.1.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1.1.1.0	b16:7F949.o6	b32:FUA9.o6		5		#859900		
JQ928174.1	1.2.2.2.2.2.2.2.2.3.2.3.1.2.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1.1.1.1	b16:7F949.o7	b32:FUA9.o7		5		#859900		
n171	1.2.2.2.2.2.2.2.2.3.2.3.1.2.2.3	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1.1.0.0.1.0	b16:7F9499.b0	b32:FUA9I		23				
KF823807.1	1.2.2.2.2.2.2.2.2.3.2.3.1.2.2.3.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1.1.0.0.1.0.0	b16:7F9499.q0	b32:FUA9I.b0		6		#859900		
KF647253.1	1.2.2.2.2.2.2.2.2.3.2.3.1.2.2.3.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.0.1.1.0.0.1.0.1	b16:7F9499.q1	b32:FUA9I.b1		3		#859900		
n174	1.2.2.2.2.2.2.2.2.3.2.3.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1	b16:7F94.o5	b32:FUA.h5	true	3				
n175	1.2.2.2.2.2.2.2.2.3.2.3.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.0	b16:7F94A	b32:FUAA		72	#dc322f			
JF707789.1	1.2.2.2.2.2.2.2.2.3.2.3.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.0.0	b16:7F94A.b0	b32:FUAA.b0		26		#dc322f		
n177	1.2.2.2.2.2.2.2.2.3.2.3.2.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.0.1	b16:7F94A.b1	b32:FUAA.b1		7				
FJ766331.1	1.2.2.2.2.2.2.2.2.3.2.3.2.1.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.0.1.0	b16:7F94A.q2	b32:FUAA.q2		4		#dc322f		
FJ766332.1	1.2.2.2.2.2.2.2.2.3.2.3.2.1.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.0.1.1	b16:7F94A.q3	b32:FUAA.q3		2		#dc322f		
n180	1.2.2.2.2.2.2.2.2.3.2.3.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1	b16:7F94B	b32:FUAB	true	29				
AY701413.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.0	b16:7F94B.b0	b32:FUAB.b0		41				
n182	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1	b16:7F94B.b1	b32:FUAB.b1	true	2				3
n183	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0	b16:7F94B.q2	b32:FUAB.q2	true	67	#3cb44b			
DQ786573.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.1.1	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.0	b16:7F94B.o4	b32:FUAB.o4		0		#3cb44b	#3cb44b	
DQ786572.1	1.2.2.2.2.2.2.2.2.3.2.3.2.2.2.1.2	0.1.1.1.1.1.1.1.1.0.0.1.0.1.0.0.1.0.1.1.1.0.1	b16:7F94B.o5	b32:FUAB.o5		0		#3cb44b		
